k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	dunn	dunn2	entropy	wb.ratio
k10	2	18, 18, 26, 17, 14, 16, 10, 6, 12, 15	0.03	0	0.21, 0.33, 0.16, 0.32, 0.24, 0.18, 0.21, 0.22, 0.18, 0.32	0.08, 0.18, 0.09, 0.15, 0.13, 0.1, 0.11, 0.15, 0.09, 0.17	0.07, 0.18, 0.09, 0.15, 0.12, 0.1, 0.11, 0.14, 0.08, 0.15	0.17	0.12	1.33	0.08	0.47	2.24	0.71
k11	2	18, 18, 19, 17, 14, 16, 7, 10, 13, 12, 8	0.03	0	0.21, 0.33, 0.14, 0.32, 0.24, 0.18, 0.13, 0.21, 0.3, 0.18, 0.29	0.08, 0.18, 0.09, 0.15, 0.13, 0.1, 0.09, 0.11, 0.18, 0.09, 0.2	0.07, 0.18, 0.08, 0.15, 0.12, 0.1, 0.1, 0.11, 0.2, 0.08, 0.22	0.17	0.13	1.41	0.08	0.43	2.35	0.74
k12	2	18, 18, 11, 17, 14, 15, 10, 6, 10, 13, 12, 8	0.03	0	0.21, 0.33, 0.12, 0.32, 0.24, 0.18, 0.12, 0.11, 0.21, 0.3, 0.18, 0.29	0.08, 0.18, 0.09, 0.15, 0.13, 0.1, 0.07, 0.09, 0.13, 0.18, 0.09, 0.2	0.07, 0.18, 0.08, 0.15, 0.12, 0.1, 0.07, 0.1, 0.13, 0.2, 0.08, 0.22	0.17	0.13	1.41	0.08	0.43	2.44	0.73
k13	2	17, 17, 12, 15, 12, 15, 3, 9, 6, 11, 16, 11, 8	0.03	0	0.21, 0.33, 0.13, 0.32, 0.24, 0.18, 0.13, 0.12, 0.11, 0.21, 0.3, 0.18, 0.29	0.08, 0.19, 0.09, 0.15, 0.13, 0.1, 0.11, 0.07, 0.09, 0.13, 0.17, 0.08, 0.2	0.06, 0.2, 0.09, 0.15, 0.12, 0.1, 0.11, 0.07, 0.1, 0.13, 0.19, 0.07, 0.22	0.17	0.13	1.41	0.08	0.41	2.49	0.74
k14	2	17, 20, 11, 14, 12, 15, 3, 11, 6, 1, 9, 15, 10, 8	0.03	0	0.21, 0.34, 0.12, 0.23, 0.26, 0.18, 0.13, 0.12, 0.11, NA, 0.21, 0.3, 0.18, 0.29	0.08, 0.18, 0.09, 0.14, 0.15, 0.1, 0.11, 0.07, 0.09, NaN, 0.13, 0.18, 0.08, 0.2	0.06, 0.18, 0.08, 0.14, 0.15, 0.1, 0.11, 0.07, 0.1, NA, 0.13, 0.19, 0.07, 0.22	0.17	0.13	1.4	0.08	0.4	2.51	0.74
k15	2	17, 20, 4, 16, 10, 15, 3, 12, 7, 6, 9, 8, 10, 8, 7	0.03	0	0.21, 0.34, 0.1, 0.33, 0.2, 0.18, 0.13, 0.17, 0.11, 0.11, 0.21, 0.25, 0.18, 0.29, 0.13	0.08, 0.18, 0.08, 0.17, 0.12, 0.1, 0.11, 0.08, 0.08, 0.09, 0.13, 0.17, 0.08, 0.2, 0.09	0.06, 0.18, 0.09, 0.16, 0.12, 0.1, 0.11, 0.07, 0.08, 0.1, 0.13, 0.16, 0.07, 0.22, 0.09	0.17	0.12	1.32	0.08	0.4	2.6	0.72
k16	2	8, 11, 11, 16, 10, 15, 3, 12, 6, 9, 9, 7, 9, 10, 8, 8	0.03	0	0.21, 0.34, 0.12, 0.33, 0.2, 0.18, 0.13, 0.17, 0.11, 0.12, 0.21, 0.22, 0.13, 0.18, 0.29, 0.15	0.1, 0.22, 0.09, 0.17, 0.12, 0.1, 0.11, 0.08, 0.09, 0.06, 0.13, 0.15, 0.1, 0.08, 0.2, 0.1	0.09, 0.22, 0.08, 0.16, 0.12, 0.1, 0.11, 0.07, 0.1, 0.06, 0.13, 0.14, 0.1, 0.07, 0.22, 0.09	0.17	0.12	1.24	0.08	0.33	2.72	0.7
k17	2	8, 11, 9, 16, 10, 15, 4, 6, 10, 6, 8, 9, 8, 7, 10, 7, 8	0.03	0	0.21, 0.13, 0.12, 0.3, 0.2, 0.18, 0.13, 0.16, 0.34, 0.11, 0.12, 0.12, 0.21, 0.23, 0.18, 0.27, 0.15	0.1, 0.1, 0.09, 0.16, 0.12, 0.1, 0.11, 0.11, 0.22, 0.09, 0.07, 0.06, 0.13, 0.16, 0.08, 0.18, 0.1	0.09, 0.1, 0.08, 0.15, 0.12, 0.1, 0.11, 0.13, 0.2, 0.1, 0.07, 0.06, 0.12, 0.14, 0.07, 0.17, 0.09	0.17	0.12	1.16	0.08	0.34	2.78	0.69
k18	2	8, 11, 4, 9, 10, 18, 4, 6, 5, 6, 8, 14, 10, 8, 6, 9, 8, 8	0.03	0	0.21, 0.13, 0.1, 0.3, 0.2, 0.24, 0.13, 0.16, 0.11, 0.11, 0.12, 0.26, 0.12, 0.21, 0.19, 0.18, 0.29, 0.15	0.1, 0.1, 0.08, 0.19, 0.12, 0.13, 0.11, 0.11, 0.08, 0.09, 0.07, 0.14, 0.06, 0.13, 0.13, 0.08, 0.2, 0.1	0.09, 0.1, 0.09, 0.17, 0.12, 0.12, 0.11, 0.13, 0.08, 0.1, 0.07, 0.14, 0.05, 0.12, 0.13, 0.07, 0.22, 0.09	0.17	0.12	1.11	0.09	0.37	2.82	0.68
k19	2	9, 8, 4, 9, 10, 18, 4, 6, 9, 7, 6, 7, 9, 8, 9, 5, 8, 8, 8	0.03	0	0.21, 0.13, 0.1, 0.3, 0.2, 0.24, 0.13, 0.16, 0.12, 0.13, 0.1, 0.15, 0.12, 0.21, 0.25, 0.18, 0.1, 0.29, 0.15	0.1, 0.1, 0.08, 0.19, 0.12, 0.13, 0.11, 0.11, 0.09, 0.09, 0.07, 0.1, 0.06, 0.13, 0.15, 0.13, 0.05, 0.2, 0.1	0.09, 0.1, 0.09, 0.17, 0.12, 0.12, 0.11, 0.13, 0.09, 0.1, 0.06, 0.1, 0.06, 0.12, 0.14, 0.12, 0.05, 0.22, 0.09	0.17	0.11	1.06	0.09	0.3	2.89	0.67
k20	2	9, 8, 4, 9, 10, 10, 4, 6, 9, 8, 7, 6, 7, 11, 8, 9, 5, 6, 8, 8	0.03	0	0.21, 0.13, 0.1, 0.3, 0.2, 0.18, 0.13, 0.16, 0.12, 0.22, 0.13, 0.1, 0.15, 0.12, 0.21, 0.25, 0.18, 0.1, 0.29, 0.15	0.1, 0.1, 0.08, 0.19, 0.12, 0.11, 0.11, 0.11, 0.09, 0.15, 0.09, 0.07, 0.1, 0.06, 0.13, 0.15, 0.13, 0.06, 0.2, 0.1	0.09, 0.1, 0.09, 0.17, 0.12, 0.11, 0.11, 0.13, 0.09, 0.16, 0.1, 0.06, 0.1, 0.05, 0.12, 0.14, 0.12, 0.05, 0.22, 0.09	0.17	0.11	1.05	0.09	0.31	2.96	0.67
k4	3	31, 64, 39, 18	0.78	0	1, 1, 1.27, 1	0.98, 0.99, 0.99, 0.93	1, 1, 1, 0.94	0.99	0.98	71.61	0.56	1	1.29	0.99
k5	3	28, 45, 28, 33, 18	0.79	0	1, 1, 1, 1.27, 1	0.98, 0.99, 1, 0.99, 0.93	1, 1, 1, 1, 0.94	0.99	0.98	70.98	0.56	0.99	1.57	0.99
